geo,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0,0,0,0,0,0,0.376,0,0,0,0,0,0,0,0,0.716,0,0,0,0.818,0,0,0,0,0,0,0,0,0,0,
Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.18,0,0,0,0,0,0,0,0,0,
Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.396,0,0,0,0,0.4,0,0,0,0,0,0,0,0.966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.2,0,0,0,0,45.1,0,0,0,0,42.2,0,0,0,0,0,0,0,0,0,0,41.3,0,38.8,0,0,0,0,0,0,
Cape Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0194,0,0,0,0,0,0,0,0,0,0,0,0,0.0662,0,0,0,0,0.0725,0,0,0,0,0,0,0,0,0,0,
Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.849,0,0,0.88,0,0,0,0,0,0,0,0,0,0,
Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.3,0,0,0,0,0,0,0,0,0,0,0,0,0,35.4,0,0,0,0,0,0,0,0,0,
China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444,0,0,0,0,481,0,0,0,0,500,0,0,525,0,0,0,0,0,0,550,0,0,0,0,0,0,571,0,0,0,0,603,0,0,598,
